source_package,source_role,target_runtime_form,primary_owner,agent_access,runtime_rule
01,Constitution and corpus governance,constitutional policy + state/gate rules,domain service + validator,orchestrator;validator;governance,never silently mutate approved behaviour
02,Canonical ontology,schemas + relationships + database constraints,domain service,all via typed schemas,Defect->Services->Openings->Links->Components->Recovery->Pricing
03,Evidence/physical/repair workflows,evidence schemas + provenance + physical lock rules,evidence/physical services,intake;physical;validator,no pricing before physical lock
04,Pricing and estimate workflows,commercial decision tables + pricing gates,pricing/recovery services,commercial;validator,no technical inference from pricing
05,Engineering fundamentals/technical evidence,technical evidence rules,technical service,technical;validator,source evidence controls applicability
06,Construction/service engineering,service/substrate taxonomy + constraints,physical/technical services,physical;technical;validator,do not infer blank source fields as wildcards
07,Repair systems/defects/assets,component/repair requirement rules,technical/components services,technical;validator,derive required components from supported repair strategy
08,Commercial estimating knowledge,labour/productivity/commercial rules,labour/pricing/recovery services,commercial;validator,shared work recovered once
09,Archetypes/algorithms/reference data,deterministic algorithms + controlled reference data,domain engines,service-specific,LLM does not perform critical arithmetic
10,Validation/metrics/calibration,executable validation + regression tests,validator/test suite,validator;governance,computed gates only
11,Custom GPT runtime/security/readiness,OpenClaw-specific rewritten security/runtime controls,OpenClaw config + security model,platform-governance;orchestrator,do not port Custom GPT mechanics blindly
12,Platform operations/integrations,domain API + audit + integration contracts,domain service + adapters,platform-governance;orchestrator,agents write only through typed tools
13,Knowledge index/deployment manifest,machine-readable routing + authority + source-hash manifest,knowledge/package-13,orchestrator;validator;governance,routing authority
14,Pricing source,editable versioned pricing database + immutable releases,pricing database,commercial via tools;validator,commercial authority only
15,Technical source,editable technical database + immutable releases,technical database,technical via tools;validator,technical applicability authority only
16,Runtime/data readiness,split release-controlled runtime profiles,knowledge/package-16,role-specific views;validator;governance,reapproval required after split
